종목명,전일비,전체,상승,보합,하락
인터넷과카탈로그소매,+4.50%,7,7,0,0
게임엔터테인먼트,+4.00%,36,29,3,4
방송과엔터테인먼트,+3.75%,57,45,5,7
출판,+3.71%,7,4,0,3
전자장비와기기,+3.16%,108,87,7,14
소프트웨어,+3.13%,76,56,6,14
기타금융,+3.12%,5,4,1,0
제약,+2.86%,182,136,14,32
건강관리기술,+2.76%,12,9,0,3
양방향미디어와서비스,+2.71%,17,15,1,1
생물공학,+2.66%,61,47,2,12
건강관리업체및서비스,+2.48%,12,8,1,3
건강관리장비와용품,+2.46%,93,62,11,20
건설,+2.36%,80,59,7,14
레저용장비와제품,+2.35%,13,10,2,1
우주항공과국방,+2.33%,27,16,3,8
조선,+2.25%,24,22,1,1
IT서비스,+2.23%,101,74,6,21
"섬유,의류,신발,호화품",+2.18%,84,56,7,21
광고,+2.11%,16,12,0,4
컴퓨터와주변기기,+2.01%,23,11,6,6
상업서비스와공급품,+1.94%,31,18,6,7
창업투자,+1.81%,120,53,28,39
석유와가스,+1.79%,21,13,3,5
건축자재,+1.76%,52,36,2,14
디스플레이장비및부품,+1.44%,77,59,6,12
교육서비스,+1.43%,22,20,0,2
생명과학도구및서비스,+1.40%,40,29,4,7
가구,+1.36%,12,10,0,2
가정용품,+1.32%,11,6,3,2
무선통신서비스,+1.31%,3,3,0,0
다각화된통신서비스,+1.30%,4,3,0,1
자동차,+1.21%,15,9,1,5
건축제품,+1.19%,13,10,0,3
"호텔,레스토랑,레저",+1.16%,19,15,1,3
판매업체,+1.16%,10,8,0,2
식품,+1.05%,89,62,6,21
항공화물운송과물류,+0.96%,14,10,2,2
운송인프라,+0.87%,10,8,0,2
해운사,+0.86%,11,8,2,1
음료,+0.84%,16,11,1,4
전문소매,+0.83%,6,2,2,2
복합기업,+0.83%,25,18,2,5
식품과기본식료품소매,+0.82%,8,4,2,2
에너지장비및서비스,+0.78%,28,18,1,9
항공사,+0.75%,9,6,1,2
전기유틸리티,+0.75%,5,4,0,1
복합유틸리티,+0.74%,1,1,0,0
통신장비,+0.67%,51,36,6,9
전기장비,+0.64%,31,18,6,7
자동차부품,+0.64%,152,114,16,22
전자제품,+0.57%,19,12,3,4
핸드셋,+0.56%,64,40,10,14
종이와목재,+0.45%,18,12,2,4
백화점과일반상점,+0.33%,15,8,3,4
디스플레이패널,+0.32%,4,3,1,0
반도체와반도체장비,+0.21%,160,115,10,35
화장품,+0.18%,65,40,9,16
기계,+0.10%,101,61,18,22
증권,+0.07%,38,21,4,13
문구류,0.00%,1,0,1,0
기타,-0.03%,1340,644,152,544
화학,-0.26%,121,70,8,43
손해보험,-0.32%,11,5,0,6
포장재,-0.33%,27,17,1,9
도로와철도운송,-0.39%,7,4,0,3
가스유틸리티,-0.50%,12,9,1,2
부동산,-0.54%,28,10,2,16
다각화된소비자서비스,-0.76%,1,0,0,1
전기제품,-0.77%,72,43,7,22
은행,-0.77%,11,4,0,7
철강,-0.86%,57,37,2,18
담배,-0.95%,1,0,0,1
가정용기기와용품,-1.42%,20,13,1,6
무역회사와판매업체,-1.46%,5,1,0,4
사무용전자제품,-1.86%,1,0,0,1
카드,-2.20%,1,0,0,1
생명보험,-4.38%,4,0,0,4
비철금속,-7.86%,43,25,6,12
